StudyHours,Passed
7.71320643266746,1
0.207519493594015,0
6.336482349262754,1
7.488038825386118,1
4.9850701230259045,1
2.2479664553084766,1
1.9806286475962398,0
7.605307121989587,1
1.6911083656253545,0
0.8833981417401027,0
6.853598183677972,1
9.533933461949365,1
0.039482663279144514,0
5.121922633857766,0
8.126209616521136,1
6.1252606682938815,1
7.217553174317995,0
2.9187606817063316,0
9.177741225129434,1
7.145757833976906,1
5.425443680112613,1
1.4217004760152696,0
3.733407600514692,1
6.741336150663453,1
4.418331744229961,0
4.340139933332937,0
6.177669784693172,1
5.131382425543909,1
6.503971819314672,1
6.010389534045444,1
8.052231968327465,1
5.216471523936342,1
9.086488808086683,1
3.1923608898854527,1
0.9045934927090737,0
3.0070005663620334,0
1.1398436186354977,0
8.286813263076766,1
0.46896319389249763,0
6.262871483113925,1
5.475861559192436,1
8.192869956700687,1
1.989475396788123,1
8.568503024577332,1
3.516526394320879,0
7.546476915298572,1
2.959617068796787,1
8.839364795611862,1
3.255116378322488,0
1.6501589771914849,1
3.925292439465873,1
0.934603745586503,0
8.211056578369284,1
1.5115201964256386,0
3.841144486921996,0
9.442607122388011,1
9.876254749018722,1
4.5630454709478405,1
8.261228438427398,1
2.5137413420705936,0
5.973716482308843,1
9.028317603316275,1
5.345579488018151,1
5.902013629854229,0
0.39281767225387343,0
3.5718175863453627,0
0.7961309015596418,0
3.0545991834281825,0
3.30719311982132,0
7.7383029621059585,1
0.39959208689977266,0
4.294921784316383,1
3.149268718426883,0
6.364911430675447,1
3.4634715008003303,1
0.4309735620499444,0
8.79915174517916,1
7.63240587143681,1
8.780966427248583,1
4.17509143839267,1
